id,name,dept,salary
1,Ilaire,Technology,"€2295,38"
2,Krystalle,Finance,"€2753,33"
3,Gil,Health Care,"€2907,23"
4,Stephanus,Energy,"€2653,82"
5,Brandtr,Capital Goods,"€1822,82"
6,Barnaby,Finance,"€2643,29"
7,Melonie,Health Care,"€2412,21"
8,Donny,n/a,"€1515,47"
9,Bertine,Energy,"€2516,91"
10,Suki,Consumer Durables,"€2506,81"
11,Ruy,n/a,"€1555,08"
12,Boy,Finance,"€2067,26"
13,Lyon,Consumer Services,"€1676,74"
14,Michel,Consumer Services,"€1502,79"
15,Hyacinthia,Finance,"€2988,50"
16,Ardelle,Basic Industries,"€2385,42"
17,Aristotle,n/a,"€1698,19"
18,Evangelin,Health Care,"€2470,55"
19,Harley,Energy,"€2313,33"
20,Charmaine,Health Care,"€1948,89"
21,Lezley,Technology,"€2341,34"
22,Mason,n/a,"€2383,24"
23,Skelly,Technology,"€1768,02"
24,Chilton,n/a,"€2437,25"
25,Perla,Consumer Services,"€2378,55"
26,Omar,Consumer Services,"€2044,79"
27,Marjy,Technology,"€2297,52"
28,Herve,Energy,"€2461,72"
29,Florida,Finance,"€2636,22"
30,Jermain,Basic Industries,"€2070,34"
31,Maryanna,Technology,"€2004,97"
32,Mack,n/a,"€2840,11"
33,Wiley,Finance,"€2909,98"
34,Celinka,Health Care,"€2004,69"
35,Fey,Basic Industries,"€1991,81"
36,Reggie,n/a,"€2798,94"
37,Tonye,Finance,"€1679,04"
38,Nomi,Health Care,"€2527,78"
39,Viv,Health Care,"€2861,49"
40,Zora,Health Care,"€2025,31"
41,Webb,Consumer Non-Durables,"€1738,97"
42,Tabor,Public Utilities,"€1867,44"
43,Bianka,Finance,"€2875,80"
44,Devin,n/a,"€2493,89"
45,Vannie,n/a,"€1520,34"
46,Jean,n/a,"€2610,11"
47,Clari,n/a,"€2063,86"
48,Linn,n/a,"€2849,69"
49,Don,Technology,"€2263,22"
50,Sylvan,Consumer Durables,"€2479,87"
51,Timmi,Technology,"€2237,24"
52,Ivor,Finance,"€2113,62"
53,Roseanna,Finance,"€2525,30"
54,Alameda,Health Care,"€1999,17"
55,Kimble,Basic Industries,"€2202,54"
56,Moina,n/a,"€2822,17"
57,Nada,n/a,"€2787,34"
58,Yoshiko,Consumer Durables,"€1876,09"
59,Audi,Capital Goods,"€2875,06"
60,Imogen,Health Care,"€2017,71"
61,Rafi,Consumer Services,"€2381,69"
62,Hyacinthia,Health Care,"€1952,26"
63,Chrissy,n/a,"€2088,79"
64,Paddie,n/a,"€2083,95"
65,Sydney,Technology,"€1931,03"
66,Tony,Transportation,"€1911,95"
67,Filmore,Technology,"€1521,34"
68,Maddalena,Technology,"€1505,06"
69,Ashely,Public Utilities,"€1685,72"
70,Emiline,n/a,"€1839,40"
71,Jocelyn,Technology,"€2954,12"
72,Gavra,Consumer Services,"€2179,49"
73,Ilsa,n/a,"€2500,65"
74,Susan,Consumer Services,"€2638,74"
75,Janeta,Technology,"€2137,64"
76,Andria,Health Care,"€2184,10"
77,Cleve,Health Care,"€2993,32"
